agenda_item_id,parcel_ids,legal_descriptions,street_addresses,cross_streets,confidence,resolved_lat,resolved_lng,resolved_via,extracted_at
pmn_1051819_item0,[],[],[],[],low,,,,2026-05-05T21:29:21.449582+00:00
pmn_1057025_item0,[],[],[],[],low,,,,2026-05-05T21:29:22.166012+00:00
pmn_1060999_item0,[],[],[],[],low,,,,2026-05-05T21:29:23.100190+00:00
pmn_1061929,[],[],"[""31 North Church Street, American Fork City, UT 84003""]",[],low,,,,2026-05-05T21:29:25.688649+00:00
pmn_1069503,[],[],[],[],low,,,,2026-05-05T21:29:26.643975+00:00
pmn_1075403,[],[],"[""51 East Main Street""]",[],low,40.3775334,-111.7980339,address,2026-05-05T21:29:28.981489+00:00
pmn_1077169,[],[],"[""51 East Main Street""]",[],low,40.3775334,-111.7980339,address,2026-05-05T21:29:30.940189+00:00
pmn_1034139_item0,[],[],[],[],low,,,,2026-05-05T21:29:31.645431+00:00
pmn_1039851_item0,[],[],[],[],low,,,,2026-05-05T21:29:32.344826+00:00
pmn_1039807_item0,[],[],[],[],low,,,,2026-05-05T21:29:33.406719+00:00
pmn_1059621_item0,[],[],[],[],low,,,,2026-05-05T21:29:34.225639+00:00
pmn_1077009_item0,[],[],[],[],low,,,,2026-05-05T21:29:34.878525+00:00
pmn_1071531_item0,[],[],"[""16001 South 3500 East, Draper""]","[""South 3500 East & 16001 South""]",high,,,,2026-05-05T21:29:38.949625+00:00
pmn_1071533_item0,[],[],[],[],low,,,,2026-05-05T21:29:39.859851+00:00
pmn_1071497,[],[],"[""1020 E. Pioneer Road, Draper, UT""]",[],low,40.5249011,-111.8517735,address,2026-05-05T21:29:42.112700+00:00
pmn_1064615,[],[],"[""1020 E Pioneer Rd, Draper, Utah 84020""]",[],medium,40.5251449,-111.8757746,address,2026-05-05T21:29:44.957871+00:00
pmn_1075953,[],[],"[""1020 E Pioneer Rd, Draper, Utah 84020""]",[],medium,40.5251449,-111.8757746,address,2026-05-05T21:29:47.010680+00:00
