id,jurisdiction,body,meeting_date,title,item_type,confidence,url,agenda_text,source,scraped_at
pmn_1069503,American Fork,Planning Commission,2026-04-08,Planning Commission Agenda - Canceled,,,https://www.utah.gov/pmn/sitemap/notice/1069503.html,"AMERICAN FORK CITY
PLANNING COMMISSION AGENDA - Canceled
________________________________________

Regular Session- Canceled 
April 8, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________
Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission regular session on April 8, 2026, has been canceled. 

Dated this 30th day of March 2026
Patrick O'Brien
Development Services Director

*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-08-03T11:26:17.082260Z
pmn_1072501,American Fork,Planning Commission,2026-04-15,"Planning Commission Work Session Agenda, Packet and Minutes",,,https://www.utah.gov/pmn/sitemap/notice/1072501.html,"AMERICAN FORK CITY
PLANNING COMMISSION AGENDA
WORK SESSION
________________________________________
Work Session
April 15, 2026
Wednesday 6:30 PM

Administrative Conference Room
51 East Main Street 
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission will meet in a Work Session on April 15, 2026, at the Administration Conference Room, located at 51 East Main Street, commencing at 6:30 PM. The agenda shall be as follows:

1.	Work Session 

a.	Roll Call
b.	Discussion on proposed amendments to the City's Municipal Code, General Plan, and Zoning.
c.	Adjourn.

Dated this 13th day of April 2026
Patrick O'Brien
Development Services Director

*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-08-03T11:26:17.082258Z
pmn_1071687,American Fork,Planning Commission,2026-04-22,"Planning Commission Agenda, Packet and Minutes",,,https://www.utah.gov/pmn/sitemap/notice/1071687.html,"Notice is hereby given that the American Fork City Planning Commission will meet in regular session on April 22, 2026, at the American Fork City Hall, 31 North Church Street commencing at 6:30 PM. The agenda shall be as follows:

1.	Regular Session
a.	Pledge of Allegiance
b.	Roll Call
2.	Public Comments
a.	Up to a 20-minute public comment period to receive public comments. Each speaker is limited to two minutes.

3.	Common Consent Agenda (Common Consent is that class of Commission action that requires no further discussion or which is routine in nature. All items on the Common Consent Agenda are adopted by a single motion unless removed from the Common Consent Agenda).
a.	Approval of the March 18, 2026, Planning Commission minutes

4.	Action Items (Action Items is that class of Commission action that requires further discussion on Site Plans and proposed zoning designation for annexing areas. The Planning Commission will have authority to approve Site Plans for final action and provide recommendations for the zone of annexing property.)
a.	Review and action on an application for a Commercial Site Plan, known as Rockport Industrial, located at 205 W Frontage Rd, American Fork City. The Commercial Site Plan will be for approximately 1.43 acres and will be in the Planned Industrial (PI-1) Zone.   
b.	Review and action on a proposed Request for Consideration for a project known as Lone Automotive. The applicants for this project request to operate an Auto Dealership in the GC-1 General Commercial Zoning.   
c.	Review and action on an application for a Commercial Site Plan, known as Mira Vista Phase 4, located at 530 S 1040 E, American Fork City. The Commercial Site Plan consists of approximately 1.05 acres and is in the R3-7500 Zone.
d.	Review and action on an application for a Commercial Site Plan, known as Climb Concrete, located at approximately 300 E 1700 S, American Fork City. The Site Plan consists of 5 acres and is in the I-1 Industrial Zone.

5.",pmn,2026-08-03T11:26:17.082255Z
pmn_1074985,American Fork,Planning Commission,2026-05-06,"Planning Commission Public Notice, Agenda and Amended Packet",,,https://www.utah.gov/pmn/sitemap/notice/1074985.html,"NOTICE OF PUBLIC HEARINGS________________________________________
Notice is hereby given that the American Fork City Planning Commission will hold a Public Hearing on May 6, 2026, in the City Hall, located at 31 N. Church Street, commencing at 6:30 PM. 
The public and each affected entity is invited to provide information and comment for American Fork City to consider in the process of the proposed items.

-	Notice of public hearings and public meetings to consider general plan modifications.

o	Review and recommendation on a proposed Annexation Agreement, known as 620 South Annexation, located at approximately 6695 West 7300 North, American Fork City. On approximately 7.03 acres, the property will be annexed into American Fork City and be given the PF Public Facilities zoning designation.

Shortly before the public hearing, supporting documentation is posted on the city website at www.americanfork.gov or available by contacting the City Recorder at 801.763.3000.


Regular Session
May 6, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission will meet in regular session on May 6, 2026, at the American Fork City Hall, 31 North Church Street commencing at 6:30 PM. The agenda shall be as follows:

1.	Regular Session
a.	Pledge of Allegiance
b.	Roll Call

2.	Public Comments
a.	Up to a 20-minute public comment period to receive public comments. Each speaker is limited to two minutes.

3.	Common Consent Agenda (Common Consent is that class of Commission action that requires no further discussion or which is routine in nature. All items on the Common Consent Agenda are adopted by a singl",pmn,2026-08-03T11:26:17.082252Z
pmn_1077583,American Fork,City Council,2026-05-12,05.12.26 Public Hearing - Chipman/Stake Center Annexation,,,https://www.utah.gov/pmn/sitemap/notice/1077583.html,"Public Hearing Notice - Chipman/Stake Center Annexation
Notice is hereby given that a petition for annexation was filed with American Fork City. The petition, which was accepted by the city council on October 22, 2024, covers approximately 24 acres consisting of property located at approximately 515 South 100 West.  The city recorder certified the petition, and the legislative body provided notice according to Utah Code 10-2-406. A 30-day period was allowed to give property owners and affected entities the opportunity to submit written protests. A public hearing was previously held on February 25, 2025.
A public hearing will be held on Tuesday, May 12, at 7 p.m. at the American Fork City Hall (31 N. Church Street) to allow the public to comment on the Chipman/Stake Center Annexation. After the public hearing, American Fork City may choose to deny or grant the petition and annex the area described in the petition. 
The complete annexation petition is available for inspection and copying at the American Fork City Recorder's office (51 E. Main Street, American Fork) or by emailing tlurker@americanfork.gov
Dated this 30th day of April 2026.
/s/ Terilyn Lurker, City Recorder",pmn,2026-08-03T11:26:17.082095Z
pmn_1078299,American Fork,Planning Commission,2026-05-20,Planning Commission Agenda - Canceled,,,https://www.utah.gov/pmn/sitemap/notice/1078299.html,"CANCELED - AMERICAN FORK CITY
PLANNING COMMISSION AGENDA
________________________________________
Regular Session - Canceled
May 20, 2026
Wednesday 6:30 PM

American Fork City Hall
31 North Church Street
American Fork City, UT 84003
https://www.americanfork.gov/AgendaCenter
________________________________________Planning Commission Members
 
Christine Anderson, Chair
Chris Christiansen, Vice Chair   
Geoff Dupaix
Rod Martin
David Bird
Harold Dudley
Claire Oldham 

 
Notice is hereby given that the American Fork City Planning Commission regular session on May 20, 2026, has been canceled.

Dated this 6th day of May 2026
Patrick O'Brien
Development Services Director
*The order of agenda items may change at the discretion of the Planning Commission Chair",pmn,2026-08-03T11:26:17.082250Z
pmn_1082813,American Fork,Planning Commission,2026-06-03,"Planning Commission Amended Public Notice Letter, Agenda, and Amended Packet",,,https://www.utah.gov/pmn/sitemap/notice/1082813.html,"NOTICE OF PUBLIC HEARINGS
________________________________________

Notice is hereby given that the American Fork City Planning Commission will hold a Public Hearing on June 3, 2026, in the City Hall, located at 31 N. Church Street, commencing at 6:30 PM. 
The public and each affected entity is invited to provide information and comment for American Fork City to consider in the process of the proposed items.

-	Notice of public hearings and public meetings to consider general plan modifications.

o	Public hearing, review, and recommendation on a proposed Land Use Map Amendment, known as 13:059:0130 & 13:059:0131 - LUMA, located at approximately 375 S 860 E, American Fork City. Consisting of 1.96 acres, the property proposes to change from the Planned Community land use designation to the Design Commercial land use designation.

 	Description: The proposed Land Use Map Amendment promotes economic opportunity and economic development on the east side of American Fork City.

o	Public hearing, review, and recommendation on a proposed Zone Change, known as 13:059:0130 & 13:059:0131 - Zone Change, located at approximately 375 S 860 E, American Fork City. Consisting of 1.96 acres, the property proposes to change from the PC and GC-2 Zones to the GC-1 Zone. 

 	Description: The proposed Zone Change promotes economic opportunity and economic development on the east side of American Fork City.

o	Public hearing, review, and recommendation on a proposed Land Use Map Amendment, known as Dixie Well (943 S 900 W) - LUMA, located at approximately 943 S 900 W, American Fork City. Consisting of 0.78 acres, the property proposes to change from the Residential Very-Low Density land use designation to the Institutional Lands, Schools and Public Facilities land use designation.

 	Description: The property in question will have a city culinary well drilled on the property. This will change the property's use from vacant to public facilities. This allows for proper prop",pmn,2026-08-03T11:26:17.082247Z
pmn_1085035,American Fork,City Council,2026-06-09,06.09.26 Public Hearing - FY2027 Municipal Officers compensation,,,https://www.utah.gov/pmn/sitemap/notice/1085035.html,"NOTICE OF PUBLIC HEARING
Notice is hereby given that the American Fork City Council will hold a public hearing in conjunction with a regular session on Tuesday, June 9, 2026, at 7:00 p.m. at the American Fork City Hall, 31 North Church Street. The City Council will receive public comments regarding the American Fork City FY 2027 (July 1, 2026, to June 30, 2027) Executive Municipal Officers Compensation Increases. 
All interested people are invited to attend.
Dated the 1st day of June 2026",pmn,2026-08-03T11:26:17.082027Z
pmn_1084385,American Fork,City Council,2026-06-09,06.09.26 Public Hearing - FYE2027 City Budget,,,https://www.utah.gov/pmn/sitemap/notice/1084385.html,"NOTICE OF PUBLIC HEARING

Notice is hereby given that the American Fork City Council will hold a public hearing in conjunction with a regular session on Tuesday, June 9, 2026, at 7:00 p.m. at the American Fork City Hall, 31 North Church Street. The City Council will receive public comments regarding the American Fork City FY 2027 Budget (July 1, 2026, to June 30, 2027). 

The fiscal year ending June 30, 2027, tentative budget includes a proposed property tax rate increase. The Property Tax Impact Schedule and the Tentative Budget can be found at www.americanfork.gov/finance.

All interested people are invited to attend.

Dated this 27th day of May, 2026",pmn,2026-08-03T11:26:17.082030Z
pmn_1085039,American Fork,City Council,2026-06-09,06.09.26 Public Hearing - PUE Vacation,,,https://www.utah.gov/pmn/sitemap/notice/1085039.html,"PUBLIC HEARING -	VACATION OF PORTION OF A PUBLIC UTILITY EASEMENT

Notice is hereby given that the American Fork City Council will hold a public hearing in conjunction with a regular session on Tuesday, June 9, 2026, at 7:00 p.m. at the American Fork City Hall, 31 N. Church Street. The City Council will receive public comments regarding the following:
-	A proposed vacation of a portion of a public utility easement at 1032 East 1060 North. The portion of the public utility easement to be vacated is 5 feet along the rear property line, reducing the rear easement from 10 feet to 5 feet. The portion to be vacated is as shown on the map below. Action is scheduled for the regular session where the City Council will act on the proposed PUE vacation.












Copies of the proposed vacation are available at the City Administrative Offices, 51 E. Main Street.  All interested people are invited to attend and make comments.
Posted this 28 day of May 2026.
  
Terilyn Lurker, City Recorder",pmn,2026-08-03T11:26:17.082033Z
